Company,Sector,Industry,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,datetime extracted
Crown Castle International Corp. (REIT),Real Estate,REIT - Specialty,USA,S&P 500,94.29,1.77,0.50%,416.00M,-1.34%,68.15B,60.25,27.45%,-1.42%,414.61M,2.84%,739.00M,4.84,0.50,93.60%,2.63%,3.15%,5.78B,11.80,45.70%,-0.03%,4.93,11.21%,24.33,6.85,1.90%,171.43,28.76%,0.76,219.83,19.50%,7.00%,114.18 - 180.00,17.27%,4.80,-,14.50%,5.40%,-7.39%,0.35,2.88%,0.50,10.20%,65.80%,46.00%,4.43,5100,0.50,0.90%,26.90%,48.41,2.53% 2.58%,Yes,1.85,-5.10%,12.80%,0.67,166.76,Yes,1.75,Jul 29 AMC,261.80%,2.21M,166.70,2.40,-1.07%,0.43%,10.58%,"1,490,491",-0.04%,2020-07-25 16:25:46.619279
CSX Corporation,Industrials,Railroads,USA,S&P 500,17.20,4.15,0.10%,772.00M,-1.14%,53.78B,17.39,19.28%,-50.20%,764.58M,5.69%,3.27B,3.96,0.64,76.50%,0.86%,11.78%,11.78B,4.57,8.60%,-0.12%,1.56,-6.99%,15.38,4.64,8.50%,75.17,2.65%,3.29,21.67,4.34%,27.30%,46.81 - 80.62,-1.41%,1.04,22.40,16.80%,14.20%,-11.51%,1.23,1.46%,1.60,-1.20%,77.70%,52.40%,1.73,20500,1.70,-5.20%,41.80%,52.48,1.97% 2.44%,Yes,1.41,-2.40%,27.70%,0.70,71.53,Yes,1.39,Jul 22 AMC,23.60%,4.19M,71.34,2.40,2.40%,2.33%,3.00%,"2,941,227",-0.27%,2020-07-25 16:25:46.619279
Cummins Inc.,Industrials,Specialty Industrial Machinery,USA,S&P 500,13.81,13.63,0.30%,149.30M,2.80%,27.87B,17.68,40.21%,-3.57%,147.02M,12.98%,2.11B,-,0.94,84.90%,2.90%,27.39%,22.58B,1.23,9.50%,-0.08%,3.35,11.29%,47.34,3.98,10.50%,173.06,7.59%,13.71,13.73,-5.01%,27.50%,101.03 - 192.31,5.19%,5.24,16.34,9.90%,21.60%,-2.12%,1.16,2.78%,0.90,4.20%,25.40%,86.33%,4.31,61615,1.40,-16.50%,11.20%,64.68,2.31% 2.18%,Yes,0.47,-18.80%,9.30%,0.71,189.94,Yes,0.22,Jul 28 BMO,37.10%,1.27M,188.24,2.80,6.03%,9.48%,13.79%,"902,183",-0.90%,2020-07-25 16:25:46.619279
CVS Health Corporation,Healthcare,Healthcare Plans,USA,S&P 500,11.47,5.52,0.10%,1.31B,-3.09%,82.32B,8.41,5.49%,-1.15%,1.30B,0.25%,7.22B,1.94,1.90,79.30%,1.52%,1.65%,261.89B,0.31,861.40%,0.06%,2.63,-11.33%,49.88,1.27,3.20%,78.87,14.25%,9.78,6.48,5.90%,11.40%,52.04 - 77.03,-14.74%,2.00,9.03,5.10%,7.20%,-17.77%,0.73,3.16%,0.70,13.00%,38.20%,21.71%,1.44,290000,1.00,8.30%,4.80%,45.51,2.15% 2.14%,Yes,1.10,40.40%,2.80%,0.85,63.79,Yes,1.01,Aug 05 BMO,36.10%,7.53M,63.34,2.10,-0.98%,-1.94%,-4.84%,"6,410,071",-0.71%,2020-07-25 16:25:46.619279
"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,USA,S&P 500,12.58,5.07,6.70%,365.80M,0.43%,22.83B,12.81,2.01%,-0.10%,332.59M,17.86%,1.89B,1.27,1.28,86.10%,1.50%,55.72%,18.47B,1.24,4.80%,-0.41%,1.19,8.96%,28.59,2.23,11.80%,59.75,43.26%,4.25,14.99,9.90%,18.80%,25.51 - 66.66,20.85%,0.70,37.91,24.10%,12.10%,-4.37%,1.63,1.10%,-,17.00%,23.10%,149.90%,2.25,8916,-,9.00%,13.20%,62.46,3.80% 3.68%,Yes,0.41,40.20%,10.30%,0.70,63.88,Yes,0.30,Jul 28 BMO,12.70%,4.20M,63.75,2.00,8.96%,13.83%,22.78%,"2,923,150",-0.20%,2020-07-25 16:25:46.619279
Danaher Corporation,Healthcare,Diagnostics & Research,USA,S&P 500,53.84,3.63,0.50%,697.20M,2.26%,136.69B,32.89,19.29%,-9.71%,627.82M,13.89%,2.61B,5.22,1.08,80.20%,1.09%,18.30%,17.37B,7.87,-2.20%,-0.03%,2.30,20.35%,42.25,4.62,5.20%,181.29,36.35%,6.24,31.30,10.31%,10.70%,119.60 - 203.00,27.23%,0.72,47.10,7.60%,4.70%,-3.81%,0.92,0.37%,1.00,6.80%,55.90%,63.27%,4.15,60000,1.30,2.90%,18.60%,70.26,2.18% 2.01%,Yes,0.88,79.10%,18.30%,1.05,199.22,Yes,0.77,Jul 23 BMO,15.20%,2.96M,195.27,1.70,5.90%,12.17%,25.81%,"3,104,360",-1.98%,2020-07-25 16:25:46.619279
"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,USA,S&P 500,-,-0.37,0.30%,129.82M,1.46%,10.11B,13.97,84.56%,25.29%,124.06M,11.06%,-49.20M,-,0.03,85.40%,5.27%,14.27%,7.81B,1.29,37.70%,0.54%,2.06,-32.84%,19.30,4.07,-,86.11,-36.37%,2.50,31.41,17.22%,-,26.15 - 128.41,-27.86%,-,-,33.00%,23.20%,-38.76%,1.31,-,0.30,6.20%,18.00%,200.73%,3.65,184514,0.40,4.50%,-,55.08,4.10% 4.59%,Yes,0.55,5.50%,-,0.56,76.17,Yes,0.54,Jun 25 BMO,-,3.17M,78.64,2.10,5.06%,3.65%,-14.44%,"1,783,687",3.24%,2020-07-25 16:25:46.619279
DaVita Inc.,Healthcare,Medical Care Facilities,USA,S&P 500,14.99,5.82,0.60%,124.90M,2.61%,10.60B,13.35,7.62%,-19.55%,118.46M,13.15%,816.10M,1.49,1.30,97.20%,4.83%,18.01%,11.49B,0.92,28.30%,0.16%,5.19,4.98%,15.60,5.60,5.00%,86.95,48.19%,11.46,7.62,10.05%,34.50%,53.51 - 90.15,16.39%,-,5.02,6.60%,13.00%,-3.13%,1.22,-,1.80,-2.30%,31.00%,63.20%,1.96,65000,1.80,3.60%,15.10%,67.16,1.65% 2.50%,Yes,4.41,153.60%,7.80%,0.40,87.68,Yes,4.33,Jul 30 AMC,0.00%,1.10M,87.33,2.70,6.54%,8.02%,15.76%,"446,201",-0.40%,2020-07-25 16:25:46.619279
Deere & Company,Industrials,Farm & Heavy Construction Machinery,USA,S&P 500,20.38,8.61,0.10%,313.20M,-0.66%,53.90B,20.30,40.96%,-4.64%,312.14M,16.52%,2.74B,9.00,1.12,80.30%,1.44%,26.49%,36.85B,1.46,5.90%,0.14%,2.79,3.07%,37.88,4.63,3.80%,164.35,5.06%,28.95,6.06,2.26%,23.60%,106.14 - 181.99,1.21%,3.04,14.76,2.90%,8.10%,-3.65%,0.97,1.73%,-,1.70%,27.30%,65.21%,4.21,73500,-,-18.30%,12.70%,67.29,1.69% 2.57%,Yes,4.23,-40.20%,7.60%,0.56,176.73,Yes,2.89,May 22 BMO,34.10%,1.61M,175.35,2.30,6.90%,12.51%,10.29%,"910,772",-0.78%,2020-07-25 16:25:46.619279
"Delta Air Lines, Inc.",Industrials,Airlines,USA,S&P 500,-,-5.83,0.30%,635.00M,-4.03%,16.69B,11.96,138.70%,-86.15%,632.67M,-5.05%,-3658.00M,-,-3.01,76.00%,4.20%,15.84%,34.06B,0.49,28.70%,-3.16%,0.51,-55.86%,13.69,1.90,-5.40%,36.20,-58.28%,24.37,1.07,-14.08%,-27.40%,17.51 - 63.44,-55.61%,-,16.14,56.40%,19.60%,-59.08%,1.23,-,0.90,3.10%,48.30%,48.26%,1.50,91224,0.90,-88.30%,-5.20%,45.42,4.14% 5.33%,Yes,2.84,-506.80%,-10.70%,0.32,26.78,Yes,2.23,Jul 14 BMO,-,52.35M,25.96,2.20,-4.51%,-4.82%,-38.38%,"16,717,670",-3.06%,2020-07-25 16:25:46.619279
DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,USA,S&P 500,117.82,0.37,0.30%,220.90M,-3.42%,9.38B,19.42,60.03%,-3.18%,218.30M,0.89%,83.80M,12.10,-0.02,98.30%,2.42%,10.00%,3.96B,2.37,125.90%,-0.12%,2.56,-27.52%,21.22,2.04,1.00%,49.83,-22.58%,1.09,39.76,9.74%,1.70%,31.58 - 60.87,-23.59%,0.40,23.77,-12.20%,4.30%,-28.96%,1.04,0.93%,1.40,6.60%,53.90%,36.94%,1.37,15200,2.00,-7.60%,4.80%,45.54,2.76% 2.89%,Yes,0.31,-463.50%,2.10%,0.60,43.98,Yes,0.30,May 08 BMO,104.40%,2.06M,43.24,2.20,-0.64%,-1.91%,-11.96%,"1,238,521",-1.68%,2020-07-25 16:25:46.619279
Devon Energy Corporation,Energy,Oil & Gas E&P,USA,S&P 500,-,-3.85,0.50%,377.00M,3.98%,4.25B,-,30.80%,0.86%,370.51M,-4.89%,-1431.00M,-,-0.23,85.60%,2.54%,1.71%,7.08B,0.60,-118.70%,0.21%,0.95,-55.32%,10.40,1.03,-13.30%,15.93,-58.15%,3.85,2.78,-,-32.00%,4.70 - 28.42,-58.80%,0.44,2.19,-15.50%,1.70%,-62.34%,3.33,4.11%,2.60,-20.50%,83.80%,127.66%,0.67,1800,2.60,93.40%,-21.60%,46.45,4.87% 5.75%,Yes,1.16,-408.20%,-26.30%,0.54,10.88,Yes,1.16,Aug 04 AMC,-,9.95M,10.70,2.10,-0.45%,-9.83%,-35.88%,"5,410,698",-1.65%,2020-07-25 16:25:46.619279
"DexCom, Inc.",Healthcare,Diagnostics & Research,USA,S&P 500,264.92,1.59,0.80%,91.80M,-0.63%,38.72B,139.84,31.47%,-23.35%,91.71M,6.96%,147.90M,5.10,0.35,99.50%,4.29%,26.86%,1.60B,24.19,175.80%,1.57%,2.28,80.28%,10.18,41.43,6.50%,400.47,178.40%,16.45,25.63,51.95%,18.10%,138.28 - 446.50,92.81%,-,296.26,41.50%,7.10%,-5.54%,0.77,-,5.40,41.60%,64.80%,205.00%,18.15,3900,5.80,44.40%,11.90%,55.23,4.11% 4.71%,Yes,0.00,171.00%,9.20%,0.36,420.01,Yes,1.16,Jul 28 AMC,0.00%,1.72M,421.75,1.60,1.21%,5.55%,50.38%,"627,312",0.41%,2020-07-25 16:25:46.619279
"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,S&P 500,-,-1.48,0.20%,158.29M,4.38%,6.51B,16.09,20.81%,8.01%,156.52M,-2.79%,-221.00M,-,0.15,98.70%,4.69%,13.83%,4.00B,1.63,-81.80%,0.63%,2.42,-50.83%,81.03,0.50,-0.20%,58.98,-59.83%,0.93,43.68,15.53%,-0.30%,14.55 - 106.34,-56.14%,1.50,2.13,-16.60%,3.20%,-61.70%,2.20,3.68%,0.90,51.60%,75.50%,179.93%,2.37,712,1.00,4.10%,-12.10%,48.62,4.28% 5.57%,Yes,0.44,-,-1.10%,0.34,41.07,Yes,0.44,Aug 03 AMC,-,3.04M,40.73,1.90,0.93%,-6.40%,-32.16%,"1,025,764",-0.83%,2020-07-25 16:25:46.619279
"Digital Realty Trust, Inc.",Real Estate,REIT - Office,USA,S&P 500,52.61,2.79,0.30%,268.31M,2.25%,38.54B,90.01,-5.33%,-28.48%,267.27M,4.98%,600.00M,3.16,0.29,89.95%,4.78%,-2.03%,3.22B,11.97,94.60%,-0.11%,6.00,14.60%,67.63,2.17,2.30%,147.89,30.28%,0.94,156.33,16.66%,6.00%,105.00 - 158.36,22.76%,4.48,656.50,18.80%,3.30%,-7.18%,0.20,3.05%,-,14.70%,62.40%,39.99%,3.91,1550,-,1.10%,18.40%,55.92,1.96% 2.64%,Yes,0.82,96.60%,18.60%,0.52,145.79,Yes,0.82,Jul 30 AMC,153.40%,2.13M,146.99,2.30,1.56%,4.29%,11.51%,"1,104,546",0.82%,2020-07-25 16:25:46.619279
Discover Financial Services,Financial,Credit Services,USA,S&P 500,7.60,6.69,0.70%,308.00M,3.74%,15.98B,8.19,222.79%,1.03%,304.66M,0.02%,2.12B,0.76,-0.29,86.00%,3.34%,40.27%,12.04B,1.33,16.60%,-0.02%,1.93,-33.39%,29.55,1.72,1.90%,56.24,-44.62%,-,-,10.05%,20.00%,23.25 - 92.98,-40.08%,1.76,3.39,13.10%,14.50%,-45.34%,1.87,3.46%,-,9.60%,-,118.58%,2.45,17200,-,1.50%,44.30%,52.66,4.30% 4.65%,Yes,2.87,-111.80%,17.60%,0.71,51.63,Yes,2.34,Jul 22 AMC,25.70%,5.27M,50.82,2.30,3.33%,2.48%,-19.03%,"3,757,308",-1.57%,2020-07-25 16:25:46.619279
"Discovery, Inc.",Communication Services,Entertainment,USA,S&P 500,7.29,2.90,3.70%,517.00M,-1.26%,10.35B,6.63,9.92%,-35.34%,479.90M,-2.60%,1.54B,2.84,0.70,-,9.39%,0.62%,11.12B,0.93,236.60%,0.66%,8.56,-30.24%,18.32,1.15,-,25.02,-32.77%,2.97,7.12,2.56%,-,17.12 - 33.65,-35.40%,-,-,11.70%,11.30%,-37.16%,1.52,-,1.60,12.20%,66.40%,23.54%,0.89,9200,1.60,-0.90%,-,49.02,3.29% 4.15%,Yes,1.68,3.70%,-,0.45,21.35,Yes,1.61,Aug 05 BMO,-,5.26M,21.15,2.50,1.29%,-2.04%,-18.49%,"2,344,245",-0.94%,2020-07-25 16:25:46.619279
"Discovery, Inc.",Communication Services,Entertainment,USA,S&P 500,7.54,2.51,4.72%,-,-1.25%,-,6.01,11.70%,-,469.78M,-3.81%,-,0.95,0.67,87.50%,1.35%,-1.10%,11.12B,-,-23.60%,-,2.60,-33.92%,14.05,1.35,-,24.33,-35.30%,-,-,7.90%,-,15.43 - 31.20,-37.91%,-,-,-,-,-39.33%,-,-,-,-,-,22.68%,0.80,9200,-,-0.90%,-,48.11,3.33% 4.09%,Yes,-,-1.80%,-,0.47,19.10,Yes,-,-,-,2.44M,18.93,3.00,0.66%,-2.80%,-21.17%,"1,152,902",-0.89%,2020-07-25 16:25:46.619279
DISH Network Corporation,Communication Services,Entertainment,USA,S&P 500,16.02,2.08,1.80%,523.15M,1.89%,17.75B,17.88,-0.64%,-0.84%,244.65M,-3.05%,1.13B,-,0.59,80.10%,5.39%,42.56%,12.84B,1.38,-12.80%,-0.04%,4.05,-9.20%,22.29,1.50,3.50%,39.82,-14.49%,6.37,5.24,-14.40%,10.60%,17.09 - 44.48,-5.95%,-,7.89,5.10%,5.60%,-25.00%,1.74,-,0.90,-2.60%,30.60%,95.20%,1.21,16000,1.00,1.00%,12.20%,52.30,2.60% 3.72%,Yes,1.21,-80.40%,8.80%,0.37,33.40,Yes,1.11,May 07 BMO,0.00%,3.25M,33.36,2.40,1.12%,3.03%,5.32%,"1,198,857",-0.12%,2020-07-25 16:25:46.619279
Dollar General Corporation,Consumer Defensive,Discount Stores,USA,S&P 500,24.81,7.73,0.20%,251.78M,1.71%,48.37B,21.68,0.18%,-38.36%,251.21M,-0.08%,1.98B,2.07,2.36,95.80%,1.11%,8.93%,29.58B,1.64,12.00%,-0.08%,1.19,24.21%,28.63,6.70,8.60%,204.17,39.20%,10.60,18.09,11.96%,29.00%,125.00 - 195.82,22.90%,1.44,21.70,13.70%,18.90%,-2.10%,0.52,0.75%,0.60,8.00%,30.70%,53.36%,3.74,143000,1.40,27.60%,9.00%,53.69,2.00% 1.95%,Yes,0.55,73.40%,6.70%,0.47,191.65,Yes,0.55,May 28 BMO,17.00%,2.36M,191.70,2.00,1.03%,2.14%,14.91%,"1,103,684",0.03%,2020-07-25 16:25:46.619279
"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,S&P 500,28.18,3.39,1.20%,236.90M,0.15%,22.96B,16.97,11.50%,-0.60%,233.77M,6.10%,806.70M,4.05,0.92,89.20%,1.81%,28.25%,24.09B,0.95,151.90%,-3.43%,1.62,9.00%,27.52,3.47,4.10%,104.48,-10.28%,7.31,13.08,6.96%,13.00%,60.20 - 119.71,1.65%,-,9.48,3.70%,9.90%,-20.14%,0.64,-,0.40,22.40%,29.50%,58.80%,2.49,56900,1.10,8.20%,5.20%,57.45,2.42% 2.79%,Yes,0.66,-6.90%,3.30%,0.46,96.32,Yes,0.49,May 28 BMO,0.00%,2.60M,95.60,2.40,2.03%,5.85%,5.13%,"1,201,302",-0.75%,2020-07-25 16:25:46.619279
"Dominion Energy, Inc.",Utilities,Utilities - Diversified,USA,S&P 500,37.47,2.15,0.20%,838.20M,2.33%,66.11B,20.80,10.14%,0.00%,836.86M,-2.63%,1.75B,13.61,0.63,69.20%,1.53%,3.20%,17.21B,3.84,-56.50%,-5.66%,2.82,-4.27%,33.81,2.38,1.70%,80.31,7.41%,1.45,55.46,2.75%,6.30%,57.79 - 90.89,-2.91%,3.76,-,-5.90%,3.20%,-11.53%,0.40,4.68%,0.50,5.90%,99.70%,39.14%,2.02,19100,0.60,16.50%,21.20%,55.67,2.30% 2.64%,Yes,1.40,62.40%,10.20%,0.95,80.59,Yes,1.22,Jul 31 BMO,172.10%,4.55M,80.41,2.70,3.59%,-0.46%,-0.55%,"4,311,883",-0.22%,2020-07-25 16:25:46.619279
"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,USA,S&P 500,34.39,11.25,0.50%,39.06M,-0.85%,15.81B,30.17,2.34%,-32.81%,38.62M,3.04%,456.00M,2.25,2.69,94.60%,3.47%,5.34%,3.76B,4.20,14.40%,0.95%,1.44,35.71%,-84.05,-,33.10%,397.64,48.43%,6.07,63.73,15.26%,-14.00%,220.90 - 422.15,31.70%,3.12,51.94,27.30%,78.40%,-8.35%,0.40,0.81%,1.90,12.70%,38.80%,75.15%,11.44,13100,2.00,13.40%,17.70%,50.47,2.61% 2.91%,Yes,-,36.50%,12.10%,0.59,381.32,Yes,-,Jul 16 BMO,23.70%,933.39K,386.91,2.00,0.15%,1.48%,19.03%,"548,138",1.47%,2020-07-25 16:25:46.619279
Dover Corporation,Industrials,Specialty Industrial Machinery,USA,S&P 500,20.68,5.10,0.50%,144.26M,1.86%,15.01B,18.69,15.73%,-1.89%,142.58M,14.82%,748.50M,17.24,0.93,86.50%,1.25%,15.98%,7.07B,2.12,19.50%,0.00%,2.01,-9.91%,20.66,5.11,8.50%,103.55,6.81%,3.58,29.50,1.20%,25.00%,62.95 - 120.26,-8.46%,1.96,28.68,0.00%,12.90%,-12.27%,1.41,1.86%,0.90,-1.60%,37.10%,67.61%,2.60,24000,1.30,-4.00%,14.40%,67.21,2.16% 2.29%,Yes,1.16,68.10%,10.60%,1.20,105.75,Yes,0.99,Jul 22 BMO,37.80%,885.00K,105.51,2.10,7.03%,8.68%,3.62%,"1,062,085",-0.23%,2020-07-25 16:25:46.619279
Dow Inc.,Basic Materials,Chemicals,USA,DJIA S&P500,-,-2.24,0.10%,740.20M,-2.43%,31.68B,18.57,141.22%,9.35%,738.09M,10.82%,-1676.00M,-,-0.30,67.10%,2.24%,28.65%,41.75B,0.76,-164.70%,-0.01%,3.10,-12.13%,17.44,2.44,-2.70%,40.24,-16.07%,4.89,8.72,-4.39%,-10.90%,21.95 - 56.25,-22.15%,2.80,6.04,-,-4.40%,-24.25%,-,6.57%,1.10,-,14.40%,94.12%,1.58,36500,1.60,-10.90%,-1.10%,53.17,3.14% 3.35%,Yes,1.41,116.80%,-4.00%,0.56,42.82,Yes,1.26,Jul 23 BMO,-,5.32M,42.61,2.70,1.99%,5.29%,-1.99%,"2,999,567",-0.49%,2020-07-25 16:25:46.619279
DTE Energy Company,Utilities,Utilities - Regulated Electric,USA,S&P 500,19.48,5.88,0.20%,192.00M,2.74%,21.71B,16.20,7.54%,-3.12%,191.45M,8.83%,1.11B,3.33,1.17,74.60%,2.04%,11.21%,12.18B,1.78,0.20%,-0.41%,3.00,-13.70%,61.57,1.86,2.80%,124.47,-10.53%,2.91,39.33,5.84%,9.90%,71.21 - 135.67,-11.78%,4.05,12.05,4.30%,5.30%,-15.55%,0.60,3.53%,0.70,0.60%,-,60.89%,2.73,10700,0.90,-14.00%,14.10%,63.90,2.43% 2.27%,Yes,1.57,-19.20%,9.10%,1.17,114.95,Yes,1.44,Jul 28 BMO,65.30%,1.30M,114.57,2.20,5.20%,6.59%,-1.02%,"1,520,511",-0.33%,2020-07-25 16:25:46.619279
Duke Energy Corporation,Utilities,Utilities - Regulated Electric,USA,S&P 500,16.30,5.08,0.10%,734.00M,0.47%,59.86B,15.49,4.86%,-6.20%,733.77M,2.88%,3.71B,4.22,1.01,65.20%,4.92%,-3.38%,24.87B,2.41,35.20%,-0.16%,9.84,-14.01%,61.25,1.35,2.40%,92.50,-4.28%,2.01,41.20,3.86%,8.30%,62.13 - 103.79,-9.23%,3.86,-,7.30%,4.90%,-20.23%,0.32,4.66%,0.50,2.20%,71.20%,33.25%,1.92,28793,0.70,-3.50%,23.40%,52.40,2.24% 2.21%,Yes,1.43,-1.30%,14.90%,0.80,83.99,Yes,1.25,Aug 10 BMO,74.20%,3.67M,82.79,2.60,1.96%,-1.11%,-6.51%,"2,940,539",-1.43%,2020-07-25 16:25:46.619279
Duke Realty Corporation,Real Estate,REIT - Industrial,USA,S&P 500,33.75,1.10,0.20%,368.19M,3.27%,13.51B,65.37,19.00%,-3.72%,367.74M,7.75%,402.10M,5.62,0.13,98.07%,1.29%,8.63%,935.20M,14.45,11.50%,1.52%,1.74,3.21%,13.47,2.77,4.80%,37.33,12.16%,0.52,72.01,6.00%,8.20%,25.19 - 38.88,7.47%,0.94,180.36,18.10%,6.50%,-4.17%,0.63,2.52%,-,-1.40%,69.40%,47.92%,0.80,400,-,-14.50%,53.20%,63.56,1.82% 2.23%,Yes,0.63,-57.80%,43.00%,0.78,37.27,Yes,0.63,Jul 29 AMC,81.30%,2.72M,37.26,2.10,4.08%,6.09%,8.13%,"2,115,843",-0.03%,2020-07-25 16:25:46.619279
"DuPont de Nemours, Inc.",Basic Materials,Chemicals,USA,S&P 500,-,-1.67,0.10%,738.60M,0.06%,40.22B,15.67,20.28%,0.00%,733.07M,5.84%,-1247.00M,-,0.58,76.80%,2.27%,30.19%,21.32B,1.89,-353.20%,0.01%,3.02,-8.15%,53.55,1.02,-0.90%,60.35,-25.43%,-,-,2.64%,-1.60%,28.33 - 74.37,-15.03%,1.20,-,-,-0.50%,-26.65%,-,2.20%,0.70,-,35.50%,92.55%,1.53,35000,1.20,-3.60%,-2.70%,56.17,2.34% 2.82%,Yes,0.44,-396.40%,-3.00%,0.90,55.35,Yes,0.34,May 05 BMO,-,5.53M,54.55,1.80,2.25%,4.81%,1.92%,"4,979,353",-1.45%,2020-07-25 16:25:46.619279
DXC Technology Company,Technology,Information Technology Services,USA,S&P 500,-,-21.05,0.60%,253.56M,2.02%,4.32B,3.86,53.16%,0.00%,252.53M,14.03%,-5369.70M,-,0.12,90.10%,3.58%,7.73%,19.58B,0.22,-596.10%,-0.38%,1.88,-50.26%,18.87,0.91,-18.20%,20.31,-69.64%,14.61,1.17,-2.57%,-65.10%,7.90 - 57.08,-54.38%,-,2.42,-67.90%,-35.30%,-69.96%,2.36,-,1.10,19.30%,23.90%,117.09%,0.80,138000,1.10,-8.80%,-25.80%,55.75,3.66% 4.88%,Yes,2.08,-,-27.40%,0.42,17.53,Yes,1.81,May 28 AMC,-,4.81M,17.15,2.40,6.34%,5.86%,-29.30%,"2,023,390",-2.17%,2020-07-25 16:25:46.619279
E*TRADE Financial Corporation,Financial,Capital Markets,USA,S&P 500,14.96,3.46,0.40%,222.30M,-4.38%,11.49B,19.83,-7.77%,-3.76%,220.29M,7.16%,806.00M,-,0.76,92.90%,5.27%,33.91%,3.08B,3.74,-1.00%,-0.15%,4.41,13.46%,26.23,1.97,1.30%,48.38,5.42%,30.78,1.68,-7.44%,13.60%,25.76 - 57.30,14.11%,0.56,1.59,31.00%,2.10%,-9.65%,1.28,1.08%,-,9.20%,87.50%,100.97%,1.51,4116,-,-8.30%,38.40%,52.57,1.84% 2.98%,Yes,7.47,-33.90%,26.20%,0.78,52.24,Yes,0.24,Jul 23 AMC,16.10%,2.63M,51.77,2.80,1.09%,7.33%,18.82%,"2,064,277",-0.90%,2020-07-25 16:25:46.619279
Eastman Chemical Company,Basic Materials,Chemicals,USA,S&P 500,13.07,5.87,0.50%,136.00M,0.99%,10.38B,11.01,17.45%,-7.26%,135.04M,14.64%,808.00M,5.01,1.05,83.80%,2.22%,33.82%,9.13B,1.14,-26.10%,0.38%,2.36,4.74%,44.98,1.70,5.00%,73.22,-4.95%,5.02,15.27,2.61%,13.50%,34.44 - 83.99,-3.31%,2.64,11.33,2.00%,8.30%,-8.75%,1.69,3.44%,0.90,-0.50%,24.50%,122.53%,1.88,14500,1.70,-5.80%,12.80%,64.33,1.85% 2.56%,Yes,1.03,26.70%,8.80%,0.60,76.48,Yes,0.88,Aug 03 AMC,42.70%,1.27M,76.64,2.00,6.47%,9.42%,12.01%,"757,780",0.21%,2020-07-25 16:25:46.619279
Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,S&P 500,18.38,5.09,0.20%,409.30M,-1.02%,37.04B,19.99,29.11%,-9.78%,399.07M,11.43%,2.13B,8.25,0.53,83.20%,1.08%,18.70%,20.87B,1.77,7.00%,0.00%,1.94,-3.34%,34.80,2.69,6.70%,93.21,14.19%,1.05,88.84,2.23%,13.60%,56.42 - 105.78,-1.17%,2.92,25.00,6.90%,10.00%,-11.51%,1.16,3.12%,1.30,-1.10%,32.60%,65.93%,2.11,95000,1.80,-9.70%,12.40%,61.93,1.51% 2.24%,Yes,0.59,-13.10%,10.20%,0.45,93.83,Yes,0.55,Jul 29 BMO,55.90%,2.23M,93.61,2.20,4.58%,7.82%,6.36%,"1,004,114",-0.23%,2020-07-25 16:25:46.619279
eBay Inc.,Consumer Cyclical,Internet Retail,USA,S&P 500,25.51,2.16,0.30%,753.00M,-5.18%,39.08B,14.73,8.37%,-14.79%,667.16M,13.02%,1.76B,2.34,1.05,96.70%,2.97%,40.08%,10.53B,3.71,0.50%,-0.16%,1.63,55.88%,2.81,19.62,24.30%,49.48,35.06%,6.22,8.86,10.92%,151.40%,26.02 - 61.06,52.64%,0.64,17.57,38.10%,17.40%,-9.73%,1.41,1.16%,1.30,4.20%,76.90%,111.84%,1.72,13300,1.30,-1.60%,22.20%,54.01,3.41% 3.11%,Yes,4.13,12.70%,44.40%,0.53,55.15,Yes,3.65,Jul 28 AMC,9.60%,12.20M,55.12,2.50,-1.61%,10.02%,40.13%,"6,495,651",-0.05%,2020-07-25 16:25:46.619279
